time_s,Kqv,Q0,V0
0,2.91,51.49,230.76
15,2.91,51.09,230.76
30,2.92,50.99,230.49
45,2.99,51.27,230.72
60,2.91,52.99,230.9
75,2.94,49.86,230.66
90,2.95,50.62,230.7
105,2.95,51.34,230.91
120,2.86,50.03,230.73
135,2.93,48.74,230.76
150,2.93,50.75,230.91
165,2.95,49.82,230.69
180,2.91,49.07,230.8
195,2.92,48.99,230.93
210,2.96,48.99,230.64
225,2.96,48.53,230.65
240,2.94,50.03,230.93
255,2.95,48.65,230.89
270,2.98,49.29,230.79
285,2.97,48.77,230.69
300,2.98,47.9,230.64
315,2.95,46.88,230.75
330,2.99,49.05,230.87
345,3.03,47.49,230.61
360,2.92,48.88,230.93
375,2.95,47.44,230.84
390,3.04,47.25,230.61
405,2.94,48.33,230.88
420,2.94,48.44,230.73
435,2.94,55.02,230.25
450,2.94,32.01,230.48
465,2.34,22.79,230.16
480,2.3,24.06,230.42
495,2.05,23.69,230.13
510,2.26,22.93,230.38
525,2.26,23.36,230.43
540,2.42,23.48,230.11
555,2.42,23.92,230.4
570,2.42,23.15,230.31
585,2.2,22.49,230.19
600,2.31,24.12,230.42
615,2.36,24,230.28
630,2.36,22.59,230.15
645,2.14,22.84,230.25
660,2.27,23.83,230.36
675,2.26,24.27,230.43
690,2.26,24.45,230.45
705,1.54,22.59,230.41
720,2.23,23.57,230.32
