time_s,npv,P0,V0
0,0.21,27.49,230.48
15,0.19,26.53,230.41
30,0.13,26.22,230.18
45,0.2,27.36,230.3
60,0.17,27.32,230.52
75,0.14,26.48,230.4
90,0.15,26.24,230.2
105,0.18,26.91,230.19
120,0.25,27.59,230.36
135,0.16,28.12,230.42
150,0.17,28.12,230.43
165,0.18,27.83,230.51
180,0.16,27.49,230.49
195,0.14,28.08,230.47
210,0.17,28.05,230.38
225,0.16,27.96,230.33
240,0.19,27.78,230.27
255,0.18,27.01,230.14
270,0.19,27.05,230.14
285,0.14,26.97,230.14
300,0.17,27.56,230.22
315,0.18,27.96,230.34
330,0.16,27.86,230.3
345,0.21,27.06,230.15
360,0.13,26.83,230.14
375,0.13,27.46,230.22
390,0.12,27.22,230.3
405,0.21,27.46,230.41
420,0.18,27.47,230.34
435,0.2,26.57,230.16
450,0.34,25.83,230.17
465,0.13,26.84,230.18
480,0.19,27.14,230.14
495,0.15,27.76,230.23
510,0.14,28.16,230.46
525,0.16,27.4,230.46
540,0.17,26.79,230.17
555,0.13,28.33,230.38
570,0.15,27.35,230.41
585,0.17,26.86,230.15
600,0.19,27.98,230.28
615,0.16,27.6,230.49
630,0.15,27.65,230.23
645,0.23,27.56,230.46
660,0.18,27.65,230.22
675,0.26,27.67,230.45
690,0.22,27.58,230.18
705,0.26,28.13,230.5
720,0.29,27.15,230.17
735,0.14,28.05,230.32
750,0.31,27.89,230.5
765,0.2,27.13,230.19
780,0.21,27.25,230.44
795,0.28,26.87,230.39
810,0.25,27.21,230.16
825,0.14,28.24,230.33
840,0.29,27.98,230.51
855,0.27,27.05,230.34
870,0.19,27.4,230.17
885,0.22,28.36,230.37
900,0.21,28.23,230.51
915,0.25,27.17,230.37
930,0.24,27.26,230.16
945,0.14,28.41,230.46
960,0.21,27.39,230.43
975,0.21,27,230.2
990,0.22,28.11,230.29
1005,0.12,28.18,230.5
1020,0.22,27.29,230.4
1035,0.19,26.96,230.21
1050,0.23,26.97,230.2
